"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Розничная;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;Размер;Модель;Рост;Сезон;"Тип ткани";;"обхват груди";"обхват талии";"обхват бедер";"обхват рукава";"Измерения (см)";Платье;"Ширина на уровне груди";"Ширина на уровне талии";"Ширина на уровне бедер";"Длина спинки";"Длина рукава";"Ширина рукава на уровне глубины оката";"Ширина рукава по низу";"Длина спинки до талии - гипюр";Блузка;"Ширина на уровнн глубины проймы";"Ширина рукава н уровне глубины оката";"Длина рукава с манжетой";Брюки;"Ширина по линии талии";"Ширина по линии бедер";"Длина по боковому шву";"Ширина на уровне колена";"Ширина внизу";"Ширина на уровне глубины проймы";"Длина по боковому шву с поясом";Юбка
"Платья и Сарафаны";;;;01860814534;"Платье Amelia Lux 1504";1199;1490;RUB;"В наличии";;https://pawlina.ru/image/catalog/main/amelia16/1504-1.jpg;;;"Amelia Lux (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-amelia-lux-1504;01860814534;50;"Амелия Люкс 1504";"164 см (девушка на фото ростом 170см)";весна-лето;"хлопок 100%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01578489562;"Платье Amelia Lux 0774";1399;1690;RUB;"В наличии";;https://pawlina.ru/image/catalog/main/amelia16/0774-1.jpg;;;"Amelia Lux (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-amelia-lux-0774;01578489562;"52;54;56";"Амелия Люкс 0774";"164 см (девушка на фото ростом 170см)";весна-лето;"вискоза 95%,эластан 5%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01175205033;"Платье Amelia Lux 0753";1399;1690;RUB;"В наличии";;https://pawlina.ru/image/catalog/main/amelia16/0753-1.jpg;;;"Amelia Lux (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-amelia-lux-0753;01175205033;50;"Амелия Люкс 0753";"164 см (девушка на фото ростом 170см)";весна-лето;"хлопок 95%, эластан 5%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;277945881;"Платье Amelia Lux 0679 красный";1199;1490;RUB;"В наличии";;https://pawlina.ru/image/catalog/main/amelia16/0679k1.jpg;;;"Amelia Lux (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-amelia-lux-0679-krasnij;277945881;48;"Амелия Люкс 0679 красный";"164 см (девушка на фото ростом 170см)";весна-лето;"полиэстер 75%,вискоза 25% (шифон)";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;2134949102;"Платье Elletto 1338 маки";1199;1490;RUB;"В наличии";"Вырез горловины: фигурный<br>
Силуэт: расклешённый
Цвета: Декоративные маки
Вид застежки: без застежки
<br>
Великолепное летящее платье удачно драпирует недостатки талии и создает праздничное настроение.Юбка-полусолнце длиною за колено колышется при дуновении ветра,осталось представить,как она будет выглядеть в танце...&nbsp;";https://pawlina.ru/image/catalog/main/elletto/1338_maki.jpg;;;"Elletto (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-elletto-1338-maki;2134949102;60;"Эллетто 1338 маки";"164 см (рост модели на фото 170см)";весна-лето;"шифон на подкладе";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01840284615;"Платье Elletto 1290 маки";1199;1490;RUB;"В наличии";"Вырез горловины: фигурный
Силуэт: расклешённый
Декоративные элементы: цветок-брошь отстегивается
Вид застежки: без застежки";https://pawlina.ru/image/catalog/main/elletto/1290_maki.jpg;;;"Elletto (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-elletto-1290-maki;01840284615;"56;58;60";"Эллетто 1290 маки";"164 см (рост модели на фото 170см)";весна-лето;"шифон на подкладе";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01825814677;"Платье Elletto 1290 бордо";1199;1490;RUB;"В наличии";"Вырез горловины: фигурный
Силуэт: расклешённый
Декоративные элементы: цветок-брошь отстегивается
Вид застежки: без застежки";https://pawlina.ru/image/catalog/main/elletto/129056-60(2).jpg;;;"Elletto (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-elletto-1290-bordo;01825814677;"56;58";"Эллетто 1290 бордо";"164 см (рост модели на фото 170см)";весна-лето;"шифон на подкладе";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01003953137;"Платье Lenata 11663 розовый";899;1090;RUB;"В наличии";"Кокетливое и в то же время сдержанное и элегантное – в этом нежном платье все призвано подчеркнуть статус и роскошное чувство стиля своей обладательницы.&nbsp;
Длина по спинке:
в 44р - 86см
в 48р - 88см";https://pawlina.ru/image/catalog/main/lenata16/11663roz.jpg;;;"LeNata (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lenata-11663-rozovij;01003953137;48;"Лената 11663 розовый";"164-170 см (рост модели на фото 170см)";весна-лето;"ПЭ 70%, вискоза 25% спандекс 5%";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1416156368;"Платье Lenata 11566 оранжевый";1399;1690;RUB;"В наличии";"Элегантное платье из натуральной ткани на все случаи жизни станет неотъемлемой частью Вашего гардероба!
Платье, полуприлегающего силуэта без подкладки. По переду фигурные рельефы с функциональными карманами в швах. Вырез горловины фигурный с пришивным фирменным элементом LeNata. Застежка на потайную тесьму-молнию в среднем шве спинки и шлицей. Рукав реглан на подкладке со складками и фигурным вырезом.&nbsp;
Длина изделия ― 101см.<br>";https://pawlina.ru/image/catalog/main/lenata16/11566-1oranzh(2).jpg;;;"LeNata (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lenata-11566-oranzhevij;1416156368;50;"Лената 11566 оранжевый";"164-170 см (рост модели на фото 170см)";весна-лето;"97% хлопок, 3% спандекс";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1167147068;"Платье Lenata 11644";999;1290;RUB;"В наличии";"Платье женское прямого силуэта без подкладки из ""холодного"" тонкого трикотажа длиной выше колена с асимметричным низом.Рукав спущенный выше локтя.Вырез горловины переда-круглый на планке,вырез горловины спинки-V-образный завязывающийся на атласную завязку-бант. Низ изделия,рукава,планка горловины переда с сырым срезом (не обработанным срезом).";https://pawlina.ru/image/catalog/main/lenata16/11644-150-54.jpg;;;"LeNata (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lenata-11644;1167147068;50;"Лената 11644";"164-170 см (рост модели на фото 170см)";весна-лето;"95% ПЭ, 5% спандекс";;;;;;;;;;;;;;;;;;;;;;;;;;;;
