"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Розничная;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;Размер;Модель;Рост;Сезон;"Тип ткани";;"обхват груди";"обхват талии";"обхват бедер";"обхват рукава";"Измерения (см)";Платье;"Ширина на уровне груди";"Ширина на уровне талии";"Ширина на уровне бедер";"Длина спинки";"Длина рукава";"Ширина рукава на уровне глубины оката";"Ширина рукава по низу";"Длина спинки до талии - гипюр";Блузка;"Ширина на уровнн глубины проймы";"Ширина рукава н уровне глубины оката";"Длина рукава с манжетой";Брюки;"Ширина по линии талии";"Ширина по линии бедер";"Длина по боковому шву";"Ширина на уровне колена";"Ширина внизу";"Ширина на уровне глубины проймы";"Длина по боковому шву с поясом";Юбка
"Платья и Сарафаны";;;;0300891310;"Платье Solei 3687 пудра";1999;2890;RUB;"В наличии";"Платье полуприлегающего силуэта с округлым вырезом горловины,спинка со средним швом, в котором обработаны застёжка на одну навесную петлю и одну пуговицу со сборкой в области талии на широкую резинку и притачными деталями пояса, в&nbsp;боковых швах обработаны карманы и разрезы. Рукава втачные двухшовные с высокими разрезами по переднему шву с небольшим расстоянием по низу.
Длина в 46р - 108см, 56р - 116см";https://pawlina.ru/image/catalog/brands/bazalini2021/3687p1.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3687-pudra;0300891310;"42;44;46;48;50;52;54;56";"Солеи 3687 пудра";"170 см (девушка на фото ростом 170см)";весна-лето;"60% хлопок, 40% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;976389020;"Платье Solei 3686 розовый";1999;2890;RUB;"В наличии";"Стильное платье из фактурного хлопкового полотна, со свободным кроем лифа и юбки, но акцентированной талией в виде сборок на тонких резинках, с округлым вырезом горловины и спущенной линией плеча. Перед с центральной застежкой на пуговицы.&nbsp;Платье дополняется поясом из основной ткани.&nbsp;
Длина платья в 48р - 111см.&nbsp;";https://pawlina.ru/image/catalog/3686probnik.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3686-rozovij;976389020;"42;44;46;48;50;52";"Солеи 3686 розовый";"170 см (девушка на фото ростом 170см)";Весна-Лето;"60% хлопок, 40% п/э";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;395810171;"Платье Solei 3685 пудра";2099;2990;RUB;"В наличии";"Платье А-образного силуэта из мягкого фактурного хлопкового полотна с V-образным вырезом горловины по переду и овальным по спинке.
В среднем шве переда обработаны декоративная застежка на навесные петли и пуговицы и разрез.
Спинка со средним швом.
Рукава втачные со сборкой по низу .
Платье дополняется поясом из основной ткани.
Длина в 50р - 110см, рукав - 25см
Длина в 54р - 112см, рукав - 27см";https://pawlina.ru/image/catalog/brands/bazalini-18-19/3685-1.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-3685-pudra-;395810171;"48;50;52;54;56";"Солеи 3685 пудра";"170 см (девушка на фото ростом 170см)";весна-лето;"60% хлопок, 40% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1291149389;"Платье Solei 4538 розовый";1799;2590;RUB;"В наличии";"Несмотря на лаконичный крой, это миди-платье непременно окажется в центре внимания, благодаря некоторым ярким элементам. Для создания модели с V-образным вырезом горловины и с укороченными полупрозрачными рукавами со сборкой по низу и притачными манжетами с отделочными пуговицами выбрали лёгкую струящуюся ткань с интересным дизайном. Взгляд к платью приковывает пояс , который красиво подчёркивает талию и помогает создать приталенный силуэт.
Длина платья в 46р - 101см, рукав - 49см. <br>Длина платья в 54р - 104см, рукав - 50см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4538rozovyjrazvod2.jpg;;;"Bazalini (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4538-rozovij;1291149389;"42;44;46;48;50;52";"Солеи 4538 розовый";"170 см (девушка на фото ростом 170см)";"Весна - Лето";"100% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;364572354;"Платье Lady Line 544 горчица горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544gorchica.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-gorchica-goroh;364572354;"46;50";"Леди Лайн 544 горчица горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01145342651;"Платье Lady Line 544 бежевый горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544bezhevyj.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-bezhevij-goroh;01145342651;"46;48;50";"Леди Лайн 544 бежевый горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1666403683;"Платье Lady Line 544 синий горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544sinij2.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-sinij-goroh;1666403683;"48;50";"Леди Лайн 544 синий горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0678479619;"Платье Lady Line 544 розовый горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544rozovyj3.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-rozovij-goroh;0678479619;"46;50";"Леди Лайн 544 розовый горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01167618828;"Платье Lady Line 544 голубой горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544goluboj.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-goluboj-goroh;01167618828;48;"Леди Лайн 544 голубой горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1889110727;"Платье Lady Line 544 мята горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544mjata3.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-mjata-goroh;1889110727;46;"Леди Лайн 544 мята горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;689350430;"Платье Lady Line 544 красный горох";1599;2290;RUB;"В наличии";"Легкое струящееся платье, отрезное по линии талии на резинке, с округлым вырезом горловины. В боковых швах обработаны функциональные карманы.&nbsp;Платье лёгкое, свободное. Данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно.&nbsp;
Ремень в комплект не входит.";https://pawlina.ru/image/catalog/brands/lady-line-21/544krasnyj.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-544-krasnij-goroh;689350430;"46;48;50";"Леди Лайн 544 красный горох";"164 см (рост модели на фото 170см)";Весна-Лето;"100% Полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01078576625;"Платье Solei 4424 сирень";1599;2290;RUB;"В наличии";"Данная модель платья с интересным неброским принтом станет идеальной основой романтичного образа. Платье А-образного силуэта, со сборкой по горловине переда и застежкой на навесную петлю и пуговицу по спинке. Изделие дополнено нижним платьем из тонкой ткани, но укороченные рукава оставили полупрозрачными.
Длина платья в 44р - 94см, рукав - 42см.<br>Длина платья в 50р - 98см, рукав - 44см.<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4424sirenrazvod.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4424-siren;01078576625;"42;44;46;48;50;52";"Солеи 4424 сирень";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% полиэстер";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;730722440;"Платье Solei 4433 серый";1999;2890;RUB;"В наличии";"Платья-рубашка свободного кроя. Украшенное нагрудными карманами с фигурными клапанами с пуговицами и функциональными косыми карманами, делает это платье особенно комфортным. Лёгкость модели придают укороченные рукава с притачными манжетами и разрезы в боковых швах. Ярким акцентом платья является интересный пояс из основной ткани.
Длина платья в 50р - 108см, длина рукава от горловины - 61см.";https://pawlina.ru/image/catalog/brands/bazalini2023/4433seryj.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4433-serij-;730722440;"48;50;52";"Солеи 4433 серый";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01924258400;"Платье Solei 4399 синий";1999;2890;RUB;"В наличии";"Данная модель платья получилась одновременно элегантной и комфортной. Первое возможно благодаря эффекту запаха, приталенному силуэту, отложному воротнику с лацканами, поддерживающими V-образный вырез. Второе – за счет мягкой, удобной к телу ткани. Линию талии подчеркивает пояс из основной ткани с металлической пряжкой-протяжкой.
Длина платья в 50р - 102см, рукав - 43см.";https://pawlina.ru/image/catalog/brands/bazalini2023/4399temnosinij.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4399-sinij;01924258400;"48;50;52";"Солеи 4399 синий";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01116812331;"Платье Solei 4659 черный цветы";1599;2290;RUB;"В наличии";"Платье-рубашка с оригинальным принтом. Модель прямого силуэта с отложным воротником с отрезной стойкой, с центральной застежкой на петли и пуговицы, со спущенной линией плеча и притачными короткими рукавами с отложными манжетами. Изделие дополнено отделочными нагрудными клапанами, функциональными карманами с листочками и поясом с пряжкой в цвет платья. Боковые швы заканчиваются разрезами. Платье будет отличным вариантом для работы или прогулки.
Длина платья в 44р - 103см, рукав от горловины- 32см.&nbsp;<br>Длина платья в 50р - 107см, рукав от горловины- 33см.&nbsp;<br><br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4659chernyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4659-chernij-cveti;01116812331;"42;44;46;48;50;52";"Солеи 4659 черный цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;411754778;"Платье Solei 4458 черный цветы";1599;2290;RUB;"В наличии";"Данная модель миди-платье прямого силуэта – эталон женственного образа. Правильное настроение задали при помощи стильного принта и интересного кроя рукавов с разрезами, частично приоткрывающими руки, и манжетами с отделочными пуговицами. Динамичность модели придают разрезы в боковых швах. По спинке обработана застёжка-капля с навесной петлёй и отделочной пуговицей. Сформировать приталенный силуэт помогает ремень.
Длина платья в 52р - 111см, рукав - 60см.&nbsp;<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4458chernyjcvety(2).jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-4458-chernij-cveti;411754778;"42;44;46;48;50;52;54;56";"Солеи 4458 черный цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% - Вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01149292922;"Платье Lady Line 530 т.синий";1799;2590;RUB;"В наличии";"Платье полуприлегающего силуэта. Вырез горловины квадратный. По переду цельнокроеные рельефы, плавно-переходящие в талиевую вытачку. По спинке застёжка по центру на потайную молнию. По низу платья по спинке открытая шлица(разрез). Рукав корткий.
Длина платья в 50р - 108см. Рукав - 18см.
<p><br></p>
<br>";https://pawlina.ru/image/catalog/brands/lady-line-21/530tsinij5.jpg;;;"Lady Line (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-lady-line-530-tsinij;01149292922;"48;50;52";"Леди Лайн 530 т.синий";"164 см (рост модели на фото 170см)";Весна-Лето;"49% Полиэфир, 48% Хлопок, 3% спандек";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;02123141382;"Платье Solei 4408 коричневый цветы";1599;2290;RUB;"В наличии";"Платье прямого силуэта, выполнено из ткани с ярким интересным принтом, с округлой формой горловины, втачными рукавами, в среднем шве спинки обработана застёжка на одну навесную петлю и пуговицу.
Длина платья в 46р - 92см, рукав - 21см.&nbsp;<br>Длина платья в 52р - 96см, рукав - 24см.&nbsp;<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4408korichnevyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4408-korichnevij-cveti;02123141382;"42;44;46;48;50;52;54;56";"Солеи 4408 коричневый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01182075679;"Платье Solei 4588 коричневый цветы";1599;2290;RUB;"В наличии";"Минималистичное платье А-образного силуэта с округлой формой горловины, со спущенной линией проймы и длины ниже колен, выполнено из мягкой, приятной к телу ткани и интересным женственным принтом. Особое внимание в этой модели привлекают рукава с отделочными патами и пуговицами. В боковых швах обработаны функциональные карманы, а в среднем шве спинки – застёжка на навесную петлю и пуговицу. Модель дополнена поясом-подчёркивающим талию.
Длина платья в 46р - 104см, рукав от горловины- 32см.&nbsp;<br>Длина платья в 52р - 107см, рукав от горловины- 33см.&nbsp;<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4588koichnevyjcvety(5).jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4588-korichnevij-cveti;01182075679;"42;44;46;48;50;52;54;56";"Солеи 4588 коричневый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01192431487;"Платье Solei 3816 красный";1799;2590;RUB;"В наличии";"Платье-миди интересного кроя полуприлегающего силуэта, отрезное по линии талии и лифом на запах. Перед с V-образным вырезом горловины и косыми нагрудными вытачками в верхней части, вертикальным швом с разрезом и складкой по нижней части. В среднем шве спинки обработана потайная молния. Рукава втачные одношовные со встречными складками по низу и притачными манжетами.
Длина платья в 44р - 111см, рукав - 48см.<br>Длина платья в 52р - 112см, рукав - 48см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/3816krasnyj.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-3816-krasnij-;01192431487;"42;44;46;48;50;52";"Солеи 3816 красный";"170 см (девушка на фото ростом 170см)";Круглогодичный;"65% полиэстер, 32% вискоза, 3% эластан";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01607434986;"Платье Solei 4658 розовый цветы";1599;2290;RUB;"В наличии";"Платье Х-образного силуэта, сшито из приятной ткани с ярким принтом. Модель отрезная по линии талии и собранная на эластичную тесьму. Рубашечный воротник и распашной лиф с застежкой на пуговицы – классические элементы, которые дополнены интересной отделкой в виде клапанов с декоративными патами и пуговицами, добавляющей платью пикантности. Рукава втачные с отложными манжетами. Юбка А-силуэта  с разным уровнем переда и спинки и разрезами в боковых швах. Платье дополнено съёмным поясом, подчеркивающим изящную женскую талию.
Длина платья в 46р - 110см, рукав&nbsp; - 22см.
Длина платья в 52р - 114см, рукав - 23см.
<p><br></p>
<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4658rozovyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4658-rozovij-cveti;01607434986;"42;44;46;48;50;52";"Солеи 4658 розовый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% - вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1667996190;"Платье Solei 4650 розовый цветы";1599;2290;RUB;"В наличии";"Элегантное платье-рубашка длины миди. Изделие свободного кроя с цельнокроеными рукавами с отделочными патами и расклешенным подолом с разрезами сшили из нежной струящейся с ярким запоминающимся принтом ткани. Модель с застёжкой на пуговицах, отложным воротником с отрезной стойкой и боковыми карманами дополнена поясом, подчеркивающим талию. Это женственное платье прекрасно впишется как в стиль casual так и в нестрогий офисный дресс-код.
Длина платья в 50р - 144см, рукав от горловины- 33см.&nbsp;<br><br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4650rozovyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4650-rozovij-cveti;1667996190;"48;50;52";"Солеи 4650 розовый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01897053345;"Платье Solei 4650 голубой цветы";1599;2290;RUB;"В наличии";"Элегантное платье-рубашка длины миди. Изделие свободного кроя с цельнокроеными рукавами с отделочными патами и расклешенным подолом с разрезами сшили из нежной струящейся с ярким запоминающимся принтом ткани. Модель с застёжкой на пуговицах, отложным воротником с отрезной стойкой и боковыми карманами дополнена поясом, подчеркивающим талию. Это женственное платье прекрасно впишется как в стиль casual так и в нестрогий офисный дресс-код.
Длина платья в 50р - 144см, рукав от горловины- 33см.&nbsp;<br><br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4650golubojcvety(3).jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4650-goluboj-cveti;01897053345;"42;44;46;48;50;52";"Солеи 4650 голубой цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0383764390;"Платье Solei 4144 розовый цветы";1799;2590;RUB;"В наличии";"Платье-миди свободного кроя, выполнено из легкой ткани, отрезное по линии талии, со спущенной линией плеча с притачными объемными рукавами-фонариками, по переду лифа обработана потайная застежка на петли-пуговицы, верхний срез юбки со сборкой, воротник отложной с отрезной стойкой.
Длина платья в 44р - 108см, рукав&nbsp; - 42см.<br>Длина платья в 50р - 110см, рукав - 43см.
<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4144rozovyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4144-rozovij-cveti;0383764390;"42;44;46;48;50;52";"Солеи 4144 розовый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% - вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01125102728;"Платье Solei 4659 голубой цветы";1599;2290;RUB;"В наличии";"Платье-рубашка с оригинальным принтом. Модель прямого силуэта с отложным воротником с отрезной стойкой, с центральной застежкой на петли и пуговицы, со спущенной линией плеча и притачными короткими рукавами с отложными манжетами. Изделие дополнено отделочными нагрудными клапанами, функциональными карманами с листочками и поясом с пряжкой в цвет платья. Боковые швы заканчиваются разрезами. Платье будет отличным вариантом для работы или прогулки.
Длина платья в 44р - 103см, рукав от горловины- 32см.&nbsp;<br>Длина платья в 50р - 107см, рукав от горловины- 33см.&nbsp;<br><br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4659golubojcvety(3).jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4659-goluboj-cveti;01125102728;"42;44;46;48;50;52";"Солеи 4659 голубой цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;181336354;"Платье Solei 4488 коричневый цветы";1599;2290;RUB;"В наличии";"Элегантное платье с ярким принтом – лёгкий и верный способ произвести впечатление. Модель выполнена из приятного к телу ткани. С округлой формой горловины, со спущенными цельнокроеными рукавами с манжетами и застежкой на одну навесную петлю и пуговицу по спинке. Акцентировать внимание на талии помогает пояс.
Длина платья в 50р - 100см, длина рукава от горловины - 28см.";https://pawlina.ru/image/catalog/brands/bazalini2023/4488krichnevyjcvety.jpg;;;"Bazalini (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4488-korichnevij-cveti;181336354;"42;44;46;48;50;52;54;56";"Солеи 4488 коричневый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1083519309;"Платье Solei 4588 голубой цветы";1599;2290;RUB;"В наличии";"Минималистичное платье А-образного силуэта с округлой формой горловины, со спущенной линией проймы и длины ниже колен, выполнено из мягкой, приятной к телу ткани и интересным женственным принтом. Особое внимание в этой модели привлекают рукава с отделочными патами и пуговицами. В боковых швах обработаны функциональные карманы, а в среднем шве спинки – застёжка на навесную петлю и пуговицу. Модель дополнена поясом-подчёркивающим талию.
Длина платья в 46р - 104см, рукав от горловины- 32см.&nbsp;<br>Длина платья в 52р - 106см, рукав от горловины- 33см.&nbsp;<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4588golubojcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4588-goluboj-cveti;1083519309;"42;44;46;48;50;52;54;56";"Солеи 4588 голубой цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;01391010431;"Платье Solei 4151 голубой цветы";1599;2290;RUB;"В наличии";"Романтичное платье-миди интересного кроя, отрезное по линии талии и присборенное на резинку, с V-образным вырезом горловины по переду, цельнокроеными рукавами, частично присборенными на резинку и с оборкой по низу.
Длина платья в 44р - 109см, в 52р - 110см.&nbsp;<br>";https://pawlina.ru/image/catalog/brands/bazalini2023/4151golubojcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4151-goluboj-cveti;01391010431;"42;44;46;48;50;52";"Солеи 4151 голубой цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;1551355004;"Платье Solei 4430 черный цветы";1599;2290;RUB;"В наличии";"Стильное платье-трапеция с цельнокроеными рукавами с манжетами и округлым вырезом горловины. Платье лёгкое, свободное, данная модель станет незаменимым вариантом, который сочетает в себе стиль и комфорт одновременно
Длина в 44р - 108см, длина в 54р - 112см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4430chernyjcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-4430-chernij-cveti;1551355004;"42;44;46;48;50;52;54;56";"Солеи 4430 черный цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0139098889;"Платье Solei 4589 розовый цветы";1599;2290;RUB;"В наличии";"Нежное, легкое, комфортное платье А-образного силуэта, выполнено из мягкой, приятной итальянской вискозной ткани с акварельным цветочным принтом. Модель, с цельнокроеными рукавами, V-образным вырезом горловины, фигурным воротником-стойкой и функциональными карманами в боковых швах, дополнили интересным элементом по горловине спинки в виде сборки на венгерку в несколько рядов. Чтобы сделать платье еще более эффектным – линию талии подчеркнули стильным поясом-ремнем с пряжкой.
Длина платья в 46р - 103см, в 54р - 108см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4589rozovyjcvety(3).jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-solei-4589-rozovij-cveti;0139098889;"42;44;46;48;50;52;54;56";"Солеи 4589 розовый цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Платья и Сарафаны";;;;0864240902;"Платье Solei 4589 голубой цветы";1599;2290;RUB;"В наличии";"Нежное, легкое, комфортное платье А-образного силуэта, выполнено из мягкой, приятной ткани с акварельным цветочным принтом. Модель, с цельнокроеными рукавами, V-образным вырезом горловины, фигурным воротником-стойкой и функциональными карманами в боковых швах, дополнили интересным элементом по горловине спинки в виде сборки на венгерку в несколько рядов. Чтобы сделать платье еще более эффектным – линию талии подчеркнули стильным поясом-ремнем с пряжкой.
Длина платья в 46р - 103см, в 54р - 108см.&nbsp;";https://pawlina.ru/image/catalog/brands/bazalini2023/4589golubojcvety.jpg;;;"Solei (Беларусь)";http://pawlina.ru/katalog/platya-sarafanyi/plate-bazalini-4589-goluboj-cveti;0864240902;"42;44;46;48;50;52;54;56";"Солеи 4589 голубой цветы";"170 см (девушка на фото ростом 170см)";Весна-Лето;"100% вискоза";;;;;;;;;;;;;;;;;;;;;;;;;;;;
